game_pk,date,venue,home_team,away_team,home_team_id,away_team_id,home_score,away_score,is_final,park_pf_runs,park_pf_hr,park_pf_h,park_elev_ft,park_roof,runs_mult,hr_mult,wind_to_cf_mph,temp_f,home_off_rpg,home_off_k_pct,home_off_bb_pct,home_off_iso,home_off_ops,away_off_rpg,away_off_k_pct,away_off_bb_pct,away_off_iso,away_off_ops,home_sp_id,home_sp_name,home_sp_fip,home_sp_k9,home_sp_bb9,home_sp_era,home_sp_hr9,away_sp_id,away_sp_name,away_sp_fip,away_sp_k9,away_sp_bb9,away_sp_era,away_sp_hr9,home_bp_era,home_bp_fip,away_bp_era,away_bp_fip,home_off_rpg_recent,home_off_ops_recent,away_off_rpg_recent,away_off_ops_recent,home_pit_era_recent,away_pit_era_recent,home_sp_xfip,away_sp_xfip,home_sp_fip_minus,away_sp_fip_minus,home_off_woba,away_off_woba,home_off_babip,away_off_babip,home_off_x_park,away_off_x_park,home_sp_x_off,away_sp_x_off,home_off_minus_oppsp,away_off_minus_oppsp,home_off_xwoba_sc,away_off_xwoba_sc,home_off_barrel_rate,away_off_barrel_rate,home_sp_xera_sc,away_sp_xera_sc,ump_k_mult,home_lineup_ops,away_lineup_ops,home_lineup_woba,away_lineup_woba,home_lineup_k_pct,away_lineup_k_pct,home_lineup_bb_pct,away_lineup_bb_pct,home_lineup_xwoba_vs_hand,away_lineup_xwoba_vs_hand,home_lineup_woba_recent,away_lineup_woba_recent,home_lineup_ops_recent,away_lineup_ops_recent,home_lineup_ids,away_lineup_ids,park_is_dome,park_is_retractable,home_sp_days_rest,away_sp_days_rest,is_day_game,home_def_oaa,away_def_oaa,home_sprint_speed,away_sprint_speed,home_bp_ip_72h,away_bp_ip_72h,home_bp_top_rest,away_bp_top_rest,home_catcher_framing,away_catcher_framing,home_catcher_id,away_catcher_id,home_sp_fip_recent,away_sp_fip_recent,home_sp_ppi,away_sp_ppi,home_bp_era_recent,away_bp_era_recent,home_off_sb_pg,away_off_sb_pg,home_off_sf_pg,away_off_sf_pg,home_off_gidp_pg,away_off_gidp_pg,home_off_sb_net_pg,away_off_sb_net_pg
823244,2026-03-25,Oracle Park,San Francisco Giants,New York Yankees,137,147,0,7,True,0.97,0.84,0.99,12,open,1.0362730470590793,1.1422216131379126,12.1832803240058,64.4,4.326923076923077,0.22313348416289594,0.08399321266968328,0.14423076923076922,0.7083461538461538,4.596153846153846,0.2278846153846154,0.08461538461538463,0.14636752136752135,0.7174230769230769,657277,Logan Webb,3.0052631578947366,11.173170731707316,2.7210526315789476,6.655263157894737,0.7894736842105263,608331,Max Fried,3.536193222782985,6.874653739612189,2.639509733237203,3.082191780821918,0.8219178082191781,3.515625,3.6624999999999996,3.6885245901639347,3.8520491803278687,4.326923076923077,0.7083461538461538,4.596153846153846,0.7174230769230769,5.166666666666666,2.6785714285714284,3.0052631578947366,3.536193222782985,100.0,100.00000000000001,0.3074321266968326,0.31399038461538464,0.2882692307692308,0.2996923076923077,0.6870957692307692,0.6959003846153846,2.156045141700405,2.504848868615163,1.2447312961011585,-2.059109311740891,0.3084708737864078,0.32293647100930567,8.052427184466021,10.042394416607014,3.8324709302325584,2.9641558441558447,1.0,0.7163448979591838,0.7215272804220139,0.31030011615035624,0.3140797132426494,0.22358405483405486,0.22738193916024727,0.08448018817916778,0.08460242769080821,0.29930774565984125,0.32243538769773683,0.310243113288096,0.31395842061164647,0.7161283422459892,0.7213032467532469,650333|656305|646240|642715|808982|671218|669477|672275|664056,663757|592450|641355|700250|519317|665862|676609|641857|669224,0,0,5.0,5.0,0,0.0,0.0,27.589473684210528,27.119999999999997,0.0,0.0,7.0,7.0,0.009359667323988522,-0.0004990379567012686,672275,669224,3.0052631578947366,3.536193222782985,16.08157894736842,14.895068493150685,4.3,4.3,0.5625,0.625,0.28125,0.28125,0.703125,0.765625,0.28125,0.34375
823649,2026-03-26,Citi Field,New York Mets,Pittsburgh Pirates,121,134,11,7,True,0.96,0.92,0.98,37,open,1.026368092518795,1.098105515955759,7.882345906694214,66.2,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,642547,Freddy Peralta,4.1,8.7,3.2,4.5,1.2,694973,Paul Skenes,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6911999999999999,0.6911999999999999,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.31819771112865036,0.31712151850438763,8.537569060773482,8.308546356352535,4.066170212765957,3.3347083926031296,1.0,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.3060015831904027,0.3219165496015733,0.315,0.315,0.72,0.72,596019|665742|666182|593871|673357|683146|543760|701807|682626,665833|664040|668804|542303|656811|669707|687462|693304|680779,0,0,5.0,5.0,1,0.0,0.0,26.82857142857143,27.773684210526312,0.0,0.0,7.0,7.0,0.007539241097867713,0.009044897731263487,682626,680779,4.1,4.1,15.5,15.5,4.3,4.3,0.5625,0.5625,0.28125,0.28125,0.703125,0.703125,0.28125,0.28125
823812,2026-03-26,American Family Field,Milwaukee Brewers,Chicago White Sox,158,145,14,2,True,1.01,1.07,1.0,635,retractable,1.0014150000000002,1.0248312555,0.0,51.1,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,694819,Jacob Misiorowski,4.1,8.7,3.2,4.5,1.2,681343,Shane Smith,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7272,0.7272,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3206879872076753,0.31503532328031403,7.955286827903259,8.741251807477793,2.4514395099540582,4.2,1.0,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.31832530700068234,0.3037877569393436,0.315,0.315,0.72,0.72,668930|661388|592885|683734|641343|686217|666152|669003|687401,805367|695657|678246|643217|669720|808959|677592|700337|682668,0,1,5.0,5.0,1,0.0,0.0,27.942105263157895,27.321052631578947,0.0,0.0,7.0,7.0,0.006834587370372797,-0.0032684609171688165,661388,700337,4.1,4.1,15.5,15.5,4.3,4.3,0.5625,0.5625,0.28125,0.28125,0.703125,0.703125,0.28125,0.28125
824704,2026-03-26,Wrigley Field,Chicago Cubs,Washington Nationals,112,120,4,10,True,1.0,0.97,1.02,595,open,0.8022835961972629,0.5888542402457324,-11.79708442403226,44.6,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,571510,Matthew Boyd,4.1,8.7,3.2,4.5,1.2,676917,Cade Cavalli,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.72,0.72,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3218083269378358,0.32447015425888664,7.756504221028394,8.974111334674717,4.5365553235908145,4.1292307692307695,1.0,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.29949907084394156,0.3228213163090381,0.315,0.315,0.72,0.72,683737|608324|664023|691718|663538|608348|694208|621020|807713,695578|665953|691781|695734|686894|682928|683083|660688|696285,0,0,5.0,5.0,1,0.0,0.0,27.492857142857144,27.70666666666667,0.0,0.0,7.0,7.0,-0.004119058870093638,-0.0009076596516724828,608348,660688,4.1,4.1,15.5,15.5,4.3,4.3,0.5625,0.5625,0.28125,0.28125,0.703125,0.703125,0.28125,0.28125
824865,2026-03-26,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,110,142,2,1,True,0.99,0.96,1.0,20,open,1.09871130153992,1.2544248407697967,8.698674947860603,77.7,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,669432,Trevor Rogers,4.1,8.7,3.2,4.5,1.2,657746,Joe Ryan,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7128,0.7128,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.31888550908322777,0.3118073467758035,8.901140684410645,8.158973847075265,3.9612098009188363,3.648246656760773,1.0,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.30885696062703705,0.3158293172581352,0.315,0.315,0.72,0.72,621493|683002|624413|668939|694212|641933|681297|691723|677942,668885|621439|807712|680777|670242|605137|605170|668904|686797,0,0,5.0,5.0,1,0.0,0.0,26.815789473684212,27.05,0.0,0.0,7.0,7.0,-0.013000108121204165,-0.006847953273199893,668939,680777,4.1,4.1,15.5,15.5,4.3,4.3,0.5625,0.5625,0.28125,0.28125,0.703125,0.703125,0.28125,0.28125
824541,2026-03-26,Great American Ball Park,Cincinnati Reds,Boston Red Sox,113,111,0,3,True,1.04,1.18,1.02,482,open,1.0697632471355525,1.1802579888092188,3.5542266586330657,79.8,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,671096,Andrew Abbott,4.1,8.7,3.2,4.5,1.2,676979,Garrett Crochet,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7488,0.7488,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.31590173160173163,0.3125640744797371,9.592532467532466,7.716447608616282,4.60936170212766,4.621666666666666,1.0,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.31494547399199835,0.3118713682821848,0.315,0.315,0.72,0.72,670770|680574|682829|701398|553993|668715|663886|682622|663647,701350|596115|680776|575929|702332|677800|643396|665966|678882,0,0,5.0,5.0,1,0.0,0.0,27.543750000000003,27.731818181818177,0.0,0.0,7.0,7.0,-0.0006245948166158907,0.005096516012652487,663886,665966,4.1,4.1,15.5,15.5,4.3,4.3,0.5625,0.5625,0.28125,0.28125,0.703125,0.703125,0.28125,0.28125
824218,2026-03-26,Daikin Park,Houston Astros,Los Angeles Angels,117,108,0,3,True,1.01,1.05,1.01,50,retractable,1.1278229317609323,1.311436383918999,7.8934180146016315,84.4,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,686613,Hunter Brown,4.1,8.7,3.2,4.5,1.2,667755,José Soriano,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7272,0.7272,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.31633617810760667,0.30363317010857993,8.078589981447125,8.474324036619118,3.846897374701671,4.340352422907489,1.0,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.31933647702829826,0.2870647319367861,0.315,0.315,0.72,0.72,514888|670541|670623|621043|694388|701358|572233|673237|676694,687263|545361|694384|624585|660162|666176|666139|681351|672724,0,1,5.0,5.0,1,0.0,0.0,27.185714285714283,27.066666666666666,0.0,0.0,7.0,7.0,-0.0015349097909573318,0.004890214215846994,673237,681351,4.1,4.1,15.5,15.5,4.3,4.3,0.5625,0.5625,0.28125,0.28125,0.703125,0.703125,0.28125,0.28125
823325,2026-03-26,Petco Park,San Diego Padres,Detroit Tigers,135,116,2,8,True,0.96,0.92,0.98,13,open,1.0191729188273282,1.039394711964678,-0.20939698021500575,74.5,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,601713,Nick Pivetta,4.1,8.7,3.2,4.5,1.2,669373,Tarik Skubal,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6911999999999999,0.6911999999999999,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.31628855627131486,0.32098352106800165,8.215820386510043,8.648915310805172,3.4880555555555555,3.323708260105448,1.0,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.30288684802195764,0.32559670735448587,0.315,0.315,0.72,0.72,665487|593428|592518|701538|609280|657757|657656|666023|630105,681481|650402|690993|682985|679529|805808|693307|678009|595879,0,0,5.0,5.0,1,0.0,0.0,27.414285714285718,27.382352941176475,0.0,0.0,7.0,7.0,0.008341370758194926,0.004308256257243324,666023,693307,4.1,4.1,15.5,15.5,4.3,4.3,0.5625,0.5625,0.28125,0.28125,0.703125,0.703125,0.28125,0.28125
823081,2026-03-26,Busch Stadium,St. Louis Cardinals,Tampa Bay Rays,138,139,9,7,True,0.96,0.93,0.97,462,open,1.1950961121970078,1.5118171768003361,13.068089058403697,90.1,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,669461,Matthew Liberatore,4.1,8.7,3.2,4.5,1.2,656876,Drew Rasmussen,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6911999999999999,0.6911999999999999,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.32144532681734883,0.3075220435193945,7.635145591529221,5.9518637653737,4.823076923076923,3.329291338582677,1.0,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.30083145776092096,0.3058435232553725,0.315,0.315,0.72,0.72,802139|671056|676475|691026|669357|691023|701675|686780|687363,650490|668723|666018|691406|810938|676356|663743|656775|700246,0,0,5.0,5.0,1,0.0,0.0,27.11666666666666,27.58235294117647,0.0,0.0,7.0,7.0,-0.004334814836617204,0.00157033700974663,686780,663743,4.1,4.1,15.5,15.5,4.3,4.3,0.5625,0.5625,0.28125,0.28125,0.703125,0.703125,0.28125,0.28125
823486,2026-03-26,Citizens Bank Park,Philadelphia Phillies,Texas Rangers,143,140,5,3,True,1.04,1.13,1.01,20,open,1.093156112052379,1.2523803789469539,10.286007608425347,75.0,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,650911,Cristopher Sánchez,4.1,8.7,3.2,4.5,1.2,543135,Nathan Eovaldi,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7488,0.7488,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3175021497671085,0.30905940394683856,7.390146900752419,7.810612162706404,3.485829145728643,4.2,1.0,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.31337606147592495,0.3146400822093858,0.315,0.315,0.72,0.72,607208|656941|547180|664761|681082|666969|669016|592663|702222,607043|694671|608369|669394|457705|673962|669701|643376|664059,0,0,5.0,5.0,1,0.0,0.0,27.83888888888889,27.204761904761902,0.0,0.0,7.0,7.0,0.004176892846503264,-0.006380187048638384,592663,643376,4.1,4.1,15.5,15.5,4.3,4.3,0.5625,0.5625,0.28125,0.28125,0.703125,0.703125,0.28125,0.28125
