game_pk,date,away_team,home_team,captured_at,market_total,ml_home,ml_away,rl_line,rl_home,rl_away,sharp_p_home,sharp_total,sharp_p_over
822804,2026-06-10,Philadelphia Phillies,Toronto Blue Jays,2026-06-10T12:54:46.529825+00:00,8.5,125,-149,1.5,-130,110,0.42567901234567895,8.5,0.5
822808,2026-06-06,Baltimore Orioles,Toronto Blue Jays,2026-06-06T15:52:58.874986+00:00,8.5,-110,-110,1.5,-175,145,0.5049229992426155,8.5,0.4950770007573845
822810,2026-06-05,Baltimore Orioles,Toronto Blue Jays,2026-06-05T13:22:41.077958+00:00,8.1,-150,128,1.5,138,-164,,,
822891,2026-06-06,Cleveland Guardians,Texas Rangers,2026-06-06T15:53:19.658695+00:00,7.5,-115,-105,1.5,-200,165,0.5148839556004037,7.5,0.5049229992426155
822892,2026-06-05,Cleveland Guardians,Texas Rangers,2026-06-05T23:32:46.913640+00:00,7.5,105,-125,1.5,-154,130,0.4653266331658291,7.5,0.5049229992426155
822970,2026-06-10,Boston Red Sox,Tampa Bay Rays,2026-06-10T12:54:21.891292+00:00,7.5,-154,130,1.5,-278,220,0.5841511285574091,7.5,0.47531486146095714
823048,2026-06-06,Cincinnati Reds,St. Louis Cardinals,2026-06-06T15:52:50.417846+00:00,9.0,-125,105,1.5,-204,170,0.5445891783567134,9.5,0.45541082164328656
823049,2026-06-05,Cincinnati Reds,St. Louis Cardinals,2026-06-05T23:32:43.421894+00:00,9.0,-145,120,1.5,-227,185,0.5644400297988578,9.5,0.45541082164328656
823287,2026-06-10,Cincinnati Reds,San Diego Padres,2026-06-10T12:54:29.402622+00:00,8.0,-169,140,1.5,-286,230,0.6040106305870984,8.5,0.4653266331658291
823292,2026-06-06,New York Mets,San Diego Padres,2026-06-06T15:53:34.185131+00:00,7.5,100,-120,1.5,-169,140,0.4653266331658291,7.5,0.48511604439959644
823293,2026-06-05,New York Mets,San Diego Padres,2026-06-05T23:33:00.871160+00:00,7.0,-125,105,1.5,-227,185,0.5445891783567134,7.5,0.45541082164328656
823454,2026-06-06,Chicago White Sox,Philadelphia Phillies,2026-06-06T15:53:02.804484+00:00,10.0,-141,115,1.5,-204,170,0.5543912175648702,10.5,0.46071971616827173
823455,2026-06-05,Chicago White Sox,Philadelphia Phillies,2026-06-05T23:32:38.676898+00:00,10.0,-130,110,1.5,-204,170,0.5426356589147286,10.0,0.4895287958115184
823538,2026-06-05,Boston Red Sox,New York Yankees,2026-06-05T23:32:38.971831+00:00,8.5,-141,115,1.5,-233,190,0.5445891783567134,8.5,0.5049229992426155
823539,2026-06-06,Boston Red Sox,New York Yankees,2026-06-06T15:53:23.239655+00:00,8.5,-120,100,1.5,-200,165,0.5148839556004037,8.5,0.4950770007573845
823697,2026-06-06,Kansas City Royals,Minnesota Twins,2026-06-06T15:52:46.410870+00:00,8.5,-145,120,1.5,-244,200,0.5743209876543209,8.5,0.48039714867617106
823698,2026-06-04,Kansas City Royals,Minnesota Twins,2026-06-05T22:50:07.203524+00:00,8.5,-115,-105,1.5,-189,155,0.5148839556004037,8.5,0.5148839556004037
823699,2026-06-05,Kansas City Royals,Minnesota Twins,2026-06-05T23:32:50.337503+00:00,8.5,-115,-105,1.5,-189,155,0.5148839556004037,8.5,0.5148839556004037
823856,2026-06-10,Arizona Diamondbacks,Miami Marlins,2026-06-10T12:54:42.699785+00:00,8.5,-105,-115,1.5,-179,150,0.4950770007573845,8.5,0.48511604439959644
823859,2026-06-06,Tampa Bay Rays,Miami Marlins,2026-06-06T15:53:16.898683+00:00,7.5,110,-130,1.5,-149,125,0.45541082164328656,7.5,0.5148839556004037
823860,2026-06-05,Tampa Bay Rays,Miami Marlins,2026-06-05T23:07:26.416463+00:00,8.0,110,-130,1.5,-154,130,0.45541082164328656,7.5,0.5049229992426155
823942,2026-06-06,Los Angeles Angels,Los Angeles Dodgers,2026-06-06T15:53:30.488423+00:00,8.5,-370,290,1.5,-667,460,0.7623490669593852,8.5,0.5148839556004037
823943,2026-06-05,Los Angeles Angels,Los Angeles Dodgers,2026-06-05T23:33:04.499126+00:00,8.0,-200,165,1.5,-345,265,0.643651529193698,8.5,0.47064803049555276
824103,2026-06-10,Texas Rangers,Kansas City Royals,2026-06-10T12:54:50.647600+00:00,10.0,100,-120,1.5,-149,125,0.4653266331658291,9.5,0.5346733668341708
824184,2026-06-06,Athletics,Houston Astros,2026-06-06T15:53:09.787392+00:00,9.5,-120,100,-1.5,150,-179,0.5445891783567134,9.5,0.48511604439959644
824185,2026-06-04,Pittsburgh Pirates,Houston Astros,2026-06-05T01:37:54.945818+00:00,,,,,,,,,
824186,2026-06-05,Athletics,Houston Astros,2026-06-05T23:32:40.219808+00:00,9.0,-110,-110,1.5,-179,150,0.4950770007573845,8.5,0.5445891783567134
824266,2026-06-10,Minnesota Twins,Detroit Tigers,2026-06-10T12:54:35.608032+00:00,9.0,-175,145,1.5,-278,220,0.6040106305870984,9.5,0.47064803049555276
824269,2026-06-06,Seattle Mariners,Detroit Tigers,2026-06-06T15:52:41.661947+00:00,9.0,105,-125,1.5,-154,130,0.4653266331658291,8.5,0.5445891783567134
824271,2026-06-05,Seattle Mariners,Detroit Tigers,2026-06-05T23:32:38.373528+00:00,8.5,110,-130,1.5,-154,130,0.4573643410852713,8.5,0.4895287958115184
824348,2026-06-10,Chicago Cubs,Colorado Rockies,2026-06-10T12:55:00.053338+00:00,12.5,140,-169,-1.5,250,-323,0.3959893694129017,12.5,0.4950770007573845
824350,2026-06-05,Milwaukee Brewers,Colorado Rockies,2026-06-05T23:32:53.613835+00:00,12.0,130,-154,1.5,-115,-105,0.4158488714425908,12.5,0.47531486146095714
824351,2026-06-06,Milwaukee Brewers,Colorado Rockies,2026-06-06T15:53:26.670084+00:00,10.5,220,-278,-1.5,390,-526,0.2871614637171801,10.5,0.5148839556004037
824590,2026-06-10,Atlanta Braves,Chicago White Sox,2026-06-10T12:54:54.377680+00:00,7.5,125,-149,-1.5,260,-333,0.4158488714425908,7.5,0.48511604439959644
824669,2026-06-06,San Francisco Giants,Chicago Cubs,2026-06-06T15:52:54.786460+00:00,7.5,-154,130,1.5,-263,210,0.5940087676570872,7.5,0.5049229992426155
824672,2026-06-04,Athletics,Chicago Cubs,2026-06-05T01:37:54.145812+00:00,,,,,,,,,
824673,2026-06-05,San Francisco Giants,Chicago Cubs,2026-06-05T23:32:37.892161+00:00,8.0,-145,120,1.5,-233,190,0.5655526992287918,8.0,0.5221932114882506
824831,2026-06-10,Seattle Mariners,Baltimore Orioles,2026-06-10T12:54:32.355906+00:00,9.0,100,-120,1.5,-154,130,0.47531486146095714,9.5,0.44560878243512975
824914,2026-06-05,Pittsburgh Pirates,Atlanta Braves,2026-06-05T23:07:29.741142+00:00,8.5,-149,125,1.5,-244,200,0.5743209876543209,8.5,0.48039714867617106
824915,2026-06-06,Pittsburgh Pirates,Atlanta Braves,2026-06-06T15:53:13.173832+00:00,8.0,-120,100,1.5,-200,165,0.5148839556004037,7.5,0.5246851385390429
